index,empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,Classe KMeans
180,17d31cb3b4a89477e7890bdf6922,0.04618117229129663,0.04174067495559503,0.030195381882770867,0.03463587921847247,0.021314387211367674,0.021314387211367674,0.016873889875666074,0.028419182948490232,0.02664298401420959,0.03552397868561278,0.03463587921847247,0.04262877442273535,0.03552397868561278,0.047957371225577264,0.02930728241563055,0.051509769094138534,0.05062166962699823,0.0586145648312611,0.060390763765541734,0.04440497335701599,0.05772646536412077,0.052397868561278864,0.06571936056838366,0.06571936056838366,1126,7
181,114d55416d8bda48a987cda2cdbe,0.0005555555555555557,0.0,0.0,0.0,0.0,0.0008333333333333334,0.017222222222222222,0.045,0.06777777777777777,0.06638888888888889,0.08194444444444443,0.07305555555555555,0.07916666666666666,0.0763888888888889,0.06333333333333334,0.06305555555555556,0.07055555555555555,0.07111111111111111,0.075,0.05805555555555556,0.05055555555555556,0.03666666666666667,0.0033333333333333327,0.0,3600,1
182,fede8f990692669e66fe3d0c49af,0.0009442870632672332,0.0,0.0,0.0,0.0,0.0,0.0113314447592068,0.049102927289896126,0.049102927289896126,0.05854579792256846,0.08309726156751653,0.056657223796034,0.06610009442870632,0.05004721435316336,0.0708215297450425,0.06043437204910292,0.06043437204910292,0.06987724268177525,0.08404154863078375,0.08593012275731822,0.06421152030217188,0.0453257790368272,0.0226628895184136,0.0113314447592068,1059,1
183,3927c68eee9874fd6d2e7aa775de,0.015408320493066256,0.006163328197226503,0.0030816640986132517,0.006163328197226503,0.01078582434514638,0.009244992295839754,0.007704160246533128,0.030816640986132512,0.053929121725731895,0.0662557781201849,0.07858243451463791,0.053929121725731895,0.0600924499229584,0.03543913713405239,0.058551617873651776,0.058551617873651776,0.07395993836671802,0.09399075500770417,0.07858243451463791,0.05238828967642527,0.06471494607087827,0.04006163328197226,0.02157164869029276,0.02003081664098613,649,1
184,bebc2507cc6a288219256a6b97bf,0.05882352941176471,0.05275924802910855,0.03577926015767132,0.029108550636749542,0.03214069132807762,0.03395997574287447,0.02243784111582777,0.03395997574287447,0.041237113402061855,0.03699211643420255,0.04002425712553062,0.03395997574287447,0.03759854457246816,0.040630685263796235,0.0272892662219527,0.029714978775015163,0.04002425712553062,0.048514251061249236,0.05639781685870225,0.04548211036992116,0.04608853850818678,0.05275924802910855,0.05033353547604609,0.0739842328684051,1649,7
185,ccac71fc00d6a845d4791f930ade,0.05613577023498695,0.028720626631853787,0.016971279373368148,0.0195822454308094,0.007832898172323759,0.016971279373368148,0.022193211488250653,0.03655352480417755,0.02610966057441253,0.023498694516971282,0.03263707571801567,0.03524804177545692,0.05221932114882506,0.03655352480417755,0.0391644908616188,0.05483028720626632,0.07180156657963446,0.06266318537859007,0.05483028720626632,0.07571801566579635,0.05483028720626632,0.06919060052219321,0.048302872062663184,0.05744125326370756,766,7
186,5f78d4dc42bcaabeb2b4c21bd46a,0.0012607160867372667,0.0005042864346949069,0.0,0.00025214321734745343,0.0005042864346949069,0.005799293998991427,0.020171457387796268,0.035552193645990916,0.0562279374684821,0.07236510337871911,0.08446797781139688,0.08623298033282904,0.10035300050428644,0.08371154815935451,0.039334341906202726,0.0448814926878467,0.05345436207766011,0.06253151790216842,0.07917297024710035,0.06858295511850733,0.061522945032778616,0.041099344427634896,0.0015128593040847204,0.0005042864346949069,3966,1
187,a0dbbadd9183aaeb495f38409e08,0.06070287539936103,0.038338658146964855,0.019169329073482427,0.019169329073482427,0.025559105431309903,0.009584664536741214,0.025559105431309903,0.02236421725239616,0.009584664536741214,0.02236421725239616,0.019169329073482427,0.02236421725239616,0.04472843450479233,0.03194888178913738,0.051118210862619806,0.0670926517571885,0.04472843450479233,0.0670926517571885,0.06070287539936103,0.06389776357827476,0.057507987220447275,0.08306709265175719,0.06389776357827476,0.07028753993610222,313,7
188,4daf67d954fd317be7041ad9fc80,0.05433070866141732,0.02047244094488189,0.008661417322834646,0.005511811023622047,0.011023622047244094,0.01968503937007874,0.01653543307086614,0.02913385826771653,0.03937007874015748,0.03700787401574803,0.06929133858267716,0.05669291338582678,0.06929133858267716,0.07007874015748032,0.02913385826771653,0.03464566929133858,0.03307086614173228,0.043307086614173235,0.05905511811023623,0.07322834645669292,0.08818897637795275,0.07086614173228346,0.025196850393700787,0.03622047244094488,1270,7
189,ade8036714825823d71af4415613,0.01675041876046901,0.008375209380234505,0.006700167504187605,0.005025125628140704,0.011725293132328308,0.006700167504187605,0.010050251256281407,0.03015075376884422,0.04187604690117253,0.06365159128978225,0.04690117252931323,0.055276381909547735,0.08710217755443886,0.09045226130653268,0.09045226130653268,0.061976549413735336,0.06030150753768844,0.05360134003350084,0.061976549413735336,0.05360134003350084,0.06030150753768844,0.04020100502512563,0.018425460636515914,0.018425460636515914,597,1
190,05f163bba2b880cf8b8c478bdd74,0.033928571428571426,0.019642857142857142,0.010714285714285714,0.01607142857142857,0.01607142857142857,0.026785714285714284,0.025,0.030357142857142857,0.042857142857142864,0.048214285714285716,0.060714285714285714,0.057142857142857134,0.07142857142857142,0.055357142857142855,0.04107142857142857,0.060714285714285714,0.042857142857142864,0.05892857142857143,0.057142857142857134,0.057142857142857134,0.05,0.042857142857142864,0.03571428571428571,0.039285714285714285,560,7
