empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,dominio
6f2a5313527c1c7ad147f1a58072,13,1,0,2,3,7,16,44,76,79,104,98,89,110,96,108,104,107,111,107,96,45,10,9,1435,0
da4fabcc826338a6a63d759b3a67,33,18,11,12,7,10,58,122,152,147,160,162,173,138,147,162,164,152,156,135,121,101,35,30,2406,0
01374339fe3afab3011d3656452f,3,0,0,0,0,0,21,34,36,43,31,36,34,51,39,48,41,33,41,41,31,34,36,24,657,0
6ff0982055a3f353b9990d43f9f2,59,48,53,41,34,23,47,43,48,39,48,51,51,58,46,51,62,53,75,53,55,69,80,82,1269,0
a9059b66e3af663fc2ce2a2ca573,3,2,1,1,1,3,4,4,7,3,3,2,5,3,3,0,4,4,4,5,4,9,1,5,81,0
26d7a40b025cafcd5358411da32f,4,0,0,0,0,1,24,55,99,141,208,222,276,279,241,198,188,205,233,280,380,400,103,26,3563,0
35de3ccb0b4b3de12303e5acfccf,0,0,0,0,0,0,0,11,7,5,9,8,12,8,9,13,9,11,17,9,17,10,14,4,173,0
d58cabfdc058bd98d9ea5b109fe3,0,0,0,0,0,17,75,143,136,123,139,143,158,138,165,170,188,184,181,197,153,54,6,0,2370,0
7f363fbef8d35f2c4d3ff6386cdf,14,4,2,1,4,9,52,177,188,222,210,214,194,229,224,214,217,261,272,247,199,159,97,23,3433,0
442a72ea5592fe852d4c24b3f231,1,0,0,0,0,9,64,80,101,99,114,79,86,78,89,87,98,122,103,109,60,71,58,28,1536,0
8ad2597081c172671ada69130e89,76,44,25,23,18,29,47,91,91,70,61,70,100,96,74,85,83,93,126,95,77,107,103,70,1754,0
1d1616faa7bba008e11ade1dc818,13,14,9,4,4,4,64,88,102,93,94,87,70,100,83,83,115,114,122,114,93,84,73,49,1676,0
d49744f59374acac9d466721f157,4,0,0,1,4,14,24,47,36,36,39,27,22,31,17,28,21,31,23,34,21,11,14,10,495,0
15dca903974b50fa97132c516cfa,9,16,10,7,11,23,105,163,189,200,211,216,198,220,200,229,200,229,266,232,146,119,50,29,3278,0
40d7f47b5ec36861647ccaab38de,5,0,0,1,1,17,21,43,34,52,42,48,40,49,46,52,46,53,51,35,39,22,19,12,728,0
85c553bd19b32b59bef1bfb19081,74,39,33,39,59,57,64,66,73,70,63,44,69,77,72,70,67,91,92,115,110,111,87,110,1752,0
c2b06971f6b5636f4f17d33d1034,105,76,40,36,26,83,86,169,156,193,166,180,186,192,207,189,206,186,229,202,190,194,114,149,3560,0
be1b32efb0f6a83186f355aad152,120,83,70,48,50,61,79,88,130,136,129,130,114,125,132,132,124,129,149,126,159,144,151,96,2705,0
d7faf20b2969a8d0fa067083eb60,15,17,14,8,11,12,8,15,6,14,12,18,23,19,20,19,15,22,13,20,16,20,26,31,394,0
c0e701d9662fe028688bfdadf5de,2,1,3,1,0,5,22,81,86,98,113,157,135,142,76,78,96,115,143,128,131,73,14,5,1705,0
25aa8c2ca0180e7fee3e0733e2ca,15,16,6,7,4,7,19,47,61,60,64,43,69,62,59,55,70,63,51,65,59,44,28,33,1007,0
b82bd30286009d10cad67f81ae9b,5,3,1,6,2,2,0,6,1,2,1,2,2,8,3,4,3,0,1,8,9,4,14,11,98,0
c6ff3c4b6f74f5e29a1bdeabdcc3,0,0,0,0,0,2,45,65,59,79,83,74,81,85,64,74,83,106,115,89,96,53,20,1,1274,0
acca37741c2979ff04c092d0f41f,0,0,0,0,0,0,1,4,8,3,2,6,12,3,10,9,6,18,14,13,10,12,0,0,131,0
ac21d8b1ce8e19b1d25a1c3cf1c2,0,0,0,0,0,0,2,23,37,57,75,48,42,56,33,39,44,57,33,22,34,21,0,0,623,0
da45f9bfdaca85f00d1b92e056a5,52,48,27,26,26,51,51,79,71,62,78,65,68,66,67,86,74,62,92,89,92,80,81,60,1553,0
a5c9dfd1e82a250f41838ebf5b92,17,16,10,11,8,17,54,107,167,174,163,149,132,151,154,190,146,182,175,157,125,124,106,76,2611,0
c7395577bfce18f8200bb5d175cf,0,0,0,0,0,17,39,59,49,47,44,39,46,37,48,46,58,66,58,55,41,56,45,17,867,0
06adb7c8f614e7536089d058198f,91,65,48,32,37,80,87,99,130,142,113,140,195,169,134,147,123,172,150,164,178,161,95,85,2837,0
a326653928fecbda9e05e6e5ce1d,81,42,37,16,20,34,77,104,94,112,89,104,81,117,96,95,98,144,168,153,104,129,105,113,2213,0
dcb9d309221a8854fb0ebcea15f4,122,114,155,131,87,78,58,101,111,122,84,138,237,275,260,321,352,301,297,415,336,214,129,187,4625,0
4d2801054babcfe3381d4896bac1,20,9,15,11,16,21,28,37,33,42,46,42,42,47,47,56,46,49,45,54,39,33,31,27,836,0
652b1f3d163ff448c3357df23a83,26,20,10,13,7,7,16,34,29,29,37,36,45,50,31,30,37,41,38,30,50,50,42,44,752,0
c07be06f611961763b7c190534c0,0,0,0,0,0,0,9,30,30,21,26,30,27,29,32,21,35,48,38,32,29,16,0,0,453,0
9c3c4aba0693337ee128bb9d02dc,0,0,0,0,0,0,0,39,69,98,104,108,112,126,141,122,137,131,141,114,102,68,49,11,1672,0
b705fca66a08b8880066509c1951,0,0,0,0,0,10,39,74,53,48,50,48,47,48,58,49,63,69,71,60,43,37,19,0,886,0
749b82bfd793e5e255338e679436,11,4,7,6,13,64,126,140,141,130,109,103,108,125,111,141,128,138,162,164,137,148,61,40,2317,0
57cea82da10a81d5887af73ff18f,31,28,16,9,18,54,26,72,95,113,110,117,115,113,124,127,148,159,158,168,143,113,67,63,2187,0
85e24067a98bb0e048bbb0dd3d65,30,24,32,24,26,37,76,128,170,176,225,226,243,214,166,175,175,219,221,202,157,151,111,64,3272,0
d54d67d26780ecc32f596b8ca166,71,57,37,32,25,38,37,37,33,37,55,44,42,56,65,58,60,45,75,59,71,75,91,75,1275,0
33456f862ac3e9cad31f68f67a7b,0,0,0,0,0,0,2,32,27,18,18,17,26,24,31,38,54,46,47,53,50,39,10,0,532,0
0fd39696be79adf24c85bf20c2d4,8,6,4,4,1,12,10,41,55,50,43,48,51,52,57,52,51,60,53,45,45,52,52,21,873,0
e55d53ed9e1fe0d1360d3b58ac71,47,6,1,3,4,32,77,71,59,118,165,240,318,259,69,61,81,131,184,217,199,183,22,22,2569,0
ef1f5388806f05ec685fdd890db0,43,19,23,20,25,17,20,25,39,31,55,35,28,34,44,46,45,52,53,60,55,56,51,40,916,0
46797df410f4f8f9f9d822939962,34,25,20,12,10,23,45,59,54,75,75,62,77,77,57,73,69,88,85,70,67,75,58,40,1330,0
895f8cea5961e86f2bf2318f1fdb,18,2,1,2,4,3,8,14,18,26,28,29,31,36,36,45,26,41,31,27,30,16,25,17,514,0
a8bfe7945374f66ed47fe9eac0e6,0,0,0,0,0,0,24,36,35,42,50,34,28,47,37,41,45,44,48,43,31,24,0,0,609,0
c588edc9168d5f775a7cd1eb0f0b,14,4,1,3,6,30,43,51,76,55,107,100,92,125,116,67,67,73,100,92,131,121,55,29,1558,0
ce99a27645aa8a1e3574468f01bc,35,33,27,16,14,16,14,40,38,47,62,54,51,56,60,73,50,91,69,73,65,71,40,53,1148,0
cac258a8f2667341d0a121b4e7ef,15,5,9,6,1,4,10,24,19,11,21,12,16,18,21,22,19,28,27,31,23,30,15,23,410,0
66019146d9ed2e2a0904740d171a,48,27,21,18,20,7,20,28,27,41,37,33,30,36,36,51,54,54,44,54,52,51,44,44,877,0
74c2011c912e9d3c8c3793ca39b1,1,0,0,0,0,12,40,33,31,19,20,24,23,34,29,28,38,26,38,29,32,21,13,22,513,0
f06d9eef2e031dcde51210a1573c,26,4,6,4,7,2,38,64,72,79,74,69,69,69,83,84,101,88,86,105,105,78,70,38,1421,0
efe54ac0c3a43032f35149aba26b,6,2,1,0,0,1,4,7,7,7,8,14,5,13,14,10,15,17,12,16,17,16,6,3,201,0
d0c9305abd09e1a33191fc2634bc,0,0,0,0,0,0,15,25,23,21,29,37,49,30,28,33,42,54,52,39,57,33,23,1,591,0
aba52ed09a8578416c091854cc3e,10,6,1,8,2,10,5,5,4,8,12,11,7,11,18,21,15,17,16,13,18,21,19,8,266,0
c8d3a65b76369121e1f5582c3868,0,0,0,0,0,0,35,61,67,58,64,65,77,65,41,64,48,67,70,69,50,49,1,0,951,0
0f616070fcde3ae54ba08fa3928e,11,10,4,0,0,0,0,6,8,11,8,11,10,8,13,17,16,15,15,19,22,14,16,17,251,0
2588f74a7e69af161593cb22f50b,7,0,1,0,2,6,29,82,153,143,205,196,184,146,156,175,205,230,201,181,156,113,113,120,2804,0
6e5c19541fe07af8510d54fb017e,21,10,10,5,8,10,19,32,43,46,38,50,41,60,48,38,49,57,50,53,42,36,29,28,823,0
30de0689d2cc6593d7e6f8c67636,3,0,2,1,8,11,25,44,62,47,55,53,43,31,35,46,52,48,55,47,23,18,19,5,733,0
3e211d1780f3dfa2ec7effeb48f3,50,38,45,24,9,12,16,22,40,43,38,46,42,45,56,33,59,47,56,65,65,70,61,58,1040,0
50b8c917b3fd9139e8a97b09e6e6,0,0,0,0,0,13,77,97,114,136,139,105,139,145,138,129,126,159,150,162,144,152,120,37,2282,0
dc8e4dc39eee8752dc47cb3622ba,0,0,0,0,0,0,52,148,144,158,149,148,145,150,164,190,193,168,189,174,148,157,122,89,2688,0
97117f48033f6e0e166fcac96ac1,55,37,32,26,23,54,79,78,86,92,85,73,81,79,93,83,85,103,115,80,90,69,91,85,1774,0
93735eef18147dcf6ec17cbd1fd2,7,3,2,9,26,39,62,116,200,254,364,477,664,236,139,158,146,252,312,449,432,189,22,8,4566,0
d0bd294aaf0135ca4cd2246c5e12,51,32,28,22,34,29,47,55,53,60,68,58,59,57,75,78,87,89,100,78,62,77,67,59,1425,0
166603bd703a9790640d6892506b,0,0,0,0,0,0,35,65,73,85,63,71,68,86,94,80,75,106,106,73,57,36,2,0,1175,0
b2fe13b0de09a93f900332a6b3e8,0,0,0,0,0,2,53,116,175,172,172,179,133,181,168,146,208,240,213,199,208,167,115,34,2881,0
e2b7cd8f6e06d448ffcbc10294eb,0,0,0,0,0,0,28,26,44,30,28,35,34,52,26,29,40,36,32,28,25,17,15,10,535,0
