encrypted_cnpj;encrypted_cnpj_prefix;encrypted_5_zipcode;encrypted_domain;cnae_code;cnae_desc;cheque;crediario;credito;debito;deposito;dinheiro;transferencia;prod_variety;day_mean;best_hour;best_hour_mean;interval_0h_4h;interval_4h_8h;interval_8h_12h;interval_12h_16h;interval_16h_20h;interval_20h_24h
8d78ffd103c5ceda738d667729f1;6,56364E+63;6,46564E+63;6,13965E+63;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;;;;;;;;131;8,725274725; 9:00 - 10:00;1,5625;1,227272727;2,316455696;2,361111111;1,984615385;2,397260274;1,833333333
8d9e27230ffd64ab6fff785be060;6,1323E+63;6,16436E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;481;6,431818182;17:00 - 18:00;1,72972973;;;2,212765957;2,917808219;3,014285714;1,357142857
8da05e101663cda9a27bf32172f3;3,13037E+63;3,53433E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0;0;0;1;0;66;2,08;19:00 - 20:00;1,5;1,230769231;1,066666667;1;1,133333333;1,206896552;1,222222222
8dabc359549817da98bf3c050923;6,13964E+63;6,13163E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;236;8,461538462;20:00 - 21:00;2;;;2,421875;4,028571429;3,206349206;2,625
8dbc216eb760cf1e0b6a371f19b0;6,26635E+63;6,66336E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;;;;;;;;0;;;;;;;;;
8e1a53603536817c67f8aa6a5a91;3,06133E+63;6,16263E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,29671384;0,70328616;0;0;0;179;7,566666667; 0:00 -  1:00;7,566666667;7,566666667;;;;;
8e44df1be3be88d01a96235ba3cb;6,46162E+63;3,43135E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,382619339;0,617380661;0;0;0;200;13,65555556; 0:00 -  1:00;13,65555556;13,65555556;;;;;
8eb0806fbfe5f0014d46acdb373b;3,73232E+63;3,23736E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,255360624;0,510721248;0;0,233918129;0;95;7,671232877; 0:00 -  1:00;7,671232877;7,671232877;;;;;
8ed6913f8efb501a6e24d712219b;3,06337E+63;3,43832E+63;3,13035E+63;4782201;Comércio varejista de calçados;0;1;0;0;0;0;0;12;1,214285714;12:00 - 13:00;1,333333333;;;1;1,142857143;1,2;
8eec86ff59477f25142b7e8c2bac;3,03031E+63;6,23536E+63;3,13035E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;;0;0;0;0;0;379;15,625;17:00 - 18:00;3,133333333;1,333333333;;3,845070423;6,388888889;6,928571429;
8ef4d40b852168ea8e3bbc4c89a0;3,33531E+63;6,23861E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0,000885269;0;0,059844193;0,162004249;0;0,777266289;0;662;62,34782609;19:00 - 20:00;3,897727273;5,844444444;7,402173913;11,94565217;12,02173913;14,15217391;11,23076923
8f0863c91aa0cf77f7626146d0cb;3,13065E+63;3,03736E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,274057765;0,725942235;0;0;0;264;15; 0:00 -  1:00;15;15;;;;;
8f2b7a6a28bdbf84304ff6fe219c;3,66331E+63;3,36265E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;;0;;;0;;0;85;5,8; 0:00 -  1:00;5,8;5,8;;;;;
8f4e361602396639471b5e5208a9;6,13966E+63;3,13831E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,408967748;0,591032252;0;0;0;278;32,17777778; 0:00 -  1:00;32,17777778;32,17777778;;;;;
8f4e9723310ae79720f750351c65;6,13964E+63;3,06538E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,271387638;0,728612362;0;0;0;252;16,04494382; 0:00 -  1:00;16,04494382;16,04494382;;;;;
8f5f2a9b69e919162bac1b8bdbc8;6,53563E+63;3,63737E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;795;13,70588235;12:00 - 13:00;3,05;1;1,777777778;5,515151515;5,50877193;4,755555556;4,6
8fa1b7dc305dfac4c7a39b8f5fbb;6,43839E+63;6,66662E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;;0;;;0;;0;89;5,494117647; 0:00 -  1:00;5,494117647;5,494117647;;;;;
8fac31ea4ad4c2361fb47d7fceb1;3,53632E+63;3,33131E+63;3,13234E+63;5611202;Bares e outros estabelecimentos especializados em servir bebidas;0;0;0,189213894;0,810786106;0;0;0;140;8,082191781; 0:00 -  1:00;8,082191781;8,082191781;;;;;
901087396f817e3749e76f0d78ed;3,86235E+63;3,86234E+63;3,13234E+63;1053800;Fabricação de sorvetes e outros gelados comestíveis;0,360846886;0;0,213409021;0,398741945;0;0,027002148;0;234;10,63333333; 0:00 -  1:00;10,63333333;10,63333333;;;;;
902744098b8ad5f6e3f633f6679e;6,66261E+63;6,13637E+63;3,13234E+63;5611201;Restaurantes e similares;0;0;0,392551145;0,607448855;0;0;0;207;14,95604396; 0:00 -  1:00;14,95604396;14,95604396;;;;;
9035b80f084cc540d39e1d596ac3;6,53937E+63;3,26662E+63;3,13035E+63;4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0;;0;0;0;0;0;49;1,714285714;20:00 - 21:00;1,5;;;1,235294118;1,277777778;1,5625;1,5
9054a051bc6ebbd5369fcb70ba2c;3,33539E+63;6,63237E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0;0;0;1;0;86;6,793103448; 0:00 -  1:00;6,793103448;6,793103448;;;;;
9068b5728ddc832d6b076bc79888;6,43763E+63;3,26133E+63;3,13035E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;;0;0;0;0;0;557;10,90140845;16:00 - 17:00;2,324324324;1;;3,15625;4,391304348;4,785714286;
906932b4604d95bcedba15dfa4c8;6,53766E+63;6,23536E+63;3,13035E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;;0;0;0;0;0;119;3,479452055; 0:00 -  1:00;3;3;;1,527777778;1,754098361;2,095238095;1
9076ea9556abef1d07ae35ee2f6d;3,93338E+63;3,23731E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;1715;55; 2:00 -  3:00;13;20;6,302325581;15,28571429;23,24489796;13,31914894;
908536ecca5f3a3672c9e7b97c74;6,33433E+63;3,83935E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0,002947368;0;0;0;0;0,997052632;0;291;14,5;13:00 - 14:00;1,596491228;1,510638298;2,105263158;3,117647059;3,238636364;3,952941176;2,782051282
9085eca57c839cf2d398c3fb7bf2;3,1374E+63;3,3653E+63;3,13035E+63;7740300;Gestão de ativos intangíveis não-financeiros;0;;0;0;0;0;0;725;14,89333333;16:00 - 17:00;2,655172414;;;4,211267606;6,22972973;4,890410959;
90fb0040a8d5676b69344644d23a;6,23931E+63;3,53965E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,230769231;0,769230769;0;0;0;52;4,855555556; 0:00 -  1:00;4,855555556;4,855555556;;;;;
910ac5e2f5b770915cc19a9fec9e;3,36339E+63;6,36632E+63;3,13234E+63;5611201;Restaurantes e similares;;0;;;0;;0;0;;;;;;;;;
9147039d3ae919b0ce45d7d51152;3,63566E+63;6,26366E+63;3,13035E+63;4681805;Comércio atacadista de lubrificantes;0;1;0;0;0;0;0;113;3,102941176;19:00 - 20:00;2;;;2,083333333;1,617647059;1,866666667;
91a06a9125d66b83434948804e59;3,73139E+63;6,63761E+63;3,13234E+63;5611201;Restaurantes e similares;;0;;;0;;0;38;4,97752809; 0:00 -  1:00;4,97752809;4,97752809;;;;;
91f4f9ba5caf2726c4a705ae1f7e;3,76236E+63;6,16232E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,357683573;0,642316427;0;0;0;331;9,103896104; 0:00 -  1:00;9,103896104;9,103896104;;;;;
920deaa1e3a0c46114c5b1878357;6,46361E+63;6,23166E+63;6,13965E+63;5611201;Restaurantes e similares;0;0;0,722772277;0,277227723;0;0;0;51;4,719101124;16:00 - 17:00;1,733333333;1,166666667;1;1,333333333;2,092307692;2,465517241;1,512820513
921450162b4d936183749e562600;3,03632E+63;6,2383E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,33460076;0,66539924;0;0;0;133;4,813186813; 0:00 -  1:00;4,813186813;4,813186813;;;;;
921f0ffc2da2ca56967f5e17a193;6,53664E+63;3,46237E+63;3,13234E+63;5611201;Restaurantes e similares;;0;;;0;;0;119;4,811111111; 0:00 -  1:00;4,811111111;4,811111111;;;;;
92caad747141bb5777c127246b9b;6,33433E+63;3,33064E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,000162483;0,041730983;0;0,958106535;0;321;21,79347826;22:00 - 23:00;1,890625;3,06097561;2,870588235;3,831460674;3,943181818;4,388888889;4,852272727
92efa83f87b173a57e68534e193c;3,13037E+63;6,66166E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;;;;;;;;85;2,225352113; 9:00 - 10:00;1,5;1,285714286;1,142857143;1,133333333;1,185185185;1,409090909;1,228571429
931154bdd3a9a7c25d9a2b7b167a;3,76463E+63;6,33162E+63;3,13234E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;0;0,434763856;0,53504421;0;0,030191934;0;32;4,397727273; 0:00 -  1:00;4,397727273;4,397727273;;;;;
932395020f1d3bee98f89234dbf2;3,03563E+63;6,33161E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;810;12,38372093; 8:00 -  9:00;3;1,5;1;2,418604651;4,87804878;4,87804878;2,616666667
932746092b2f054f43f096310e8f;6,46238E+63;3,73462E+63;3,13035E+63;9602502;Atividades de estética e outros serviços de cuidados com a beleza;0;;0;0;0;0;0;2;1;14:00 - 15:00;1;;;1;1;;
932db90e239333f5fad7539cbea9;3,13765E+63;3,83864E+63;3,13035E+63;4789099;Comércio varejista de outros produtos não especificados anteriormente;0;;0;0;0;0;0;434;10,42222222;20:00 - 21:00;1,904761905;1,25;;1,772727273;3,964285714;4,305882353;2,644067797
9357ebc705098db3d1839824adca;6,33264E+63;3,63565E+63;6,13965E+63;6462000;Holdings de instituições não-financeiras;0;0;0,362140481;0,637859519;0;0;0;44;30,15217391;17:00 - 18:00;2,689189189;1,479166667;2,902439024;7,292134831;7,266666667;8,344444444;4,670454545
93735eef18147dcf6ec17cbd1fd2;3,83164E+63;3,16531E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0,024947753;0;0,417874869;0,557014107;0,000163271;0;0;37;49,63043478;12:00 - 13:00;7,217391304;1,105263158;2,963414634;14,07608696;13,01086957;12,59782609;7,076086957
93832a856d2154bfa223894ee9b8;6,13164E+63;6,63331E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;1;0;0;0;0;2;1;19:00 - 20:00;1;;;;;1;
939e54920ea242aedeb60f354e9e;6,13031E+63;3,2394E+63;3,13035E+63;4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0;;0;0;0;0;0;14;2,789473684;15:00 - 16:00;6,333333333;;;1,142857143;5,166666667;1,857142857;1
93a1ec5853a5126e9c7724598006;3,13538E+63;3,53565E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;547;10,12941176; 0:00 -  1:00;5;5;;1,710526316;3,779220779;4,878378378;2,355932203
93a965bc57a0bee0befaf47581bf;3,03237E+63;3,66663E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;;0;;;0;;0;207;6,730337079; 0:00 -  1:00;6,730337079;6,730337079;;;;;
93c37096d782d632a339f4828b64;3,76464E+63;3,73365E+63;3,13035E+63;9602502;Atividades de estética e outros serviços de cuidados com a beleza;0;;0;0;0;0;0;3;1;22:00 - 23:00;1;;;;1;1;1
93e296ee54daba6d209a91d2448b;3,96266E+63;6,23834E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;1;0;0;0;0;58;3,917647059; 0:00 -  1:00;3,917647059;3,917647059;;;;;
93f6612a330d12b211b5978ae7db;6,4634E+63;3,33361E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,007867495;0,016563147;0;0,975569358;0;12;15,5;18:00 - 19:00;1,892857143;;1,666666667;3,793103448;4,280898876;4,546511628;2,844155844
